PassengerId,Age,SibSp,Parch,Fare,Pclass_1,Pclass_2,Pclass_3,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S
84,28.0,0,0,47.1,1,0,0,0,1,0,0,1
85,17.0,0,0,10.5,0,1,0,1,0,0,0,1
86,33.0,3,0,15.85,0,0,1,1,0,0,0,1
87,16.0,1,3,34.375,0,0,1,0,1,0,0,1
88,29.69911764705882,0,0,8.05,0,0,1,0,1,0,0,1
89,23.0,3,2,263.0,1,0,0,1,0,0,0,1
90,24.0,0,0,8.05,0,0,1,0,1,0,0,1
91,29.0,0,0,8.05,0,0,1,0,1,0,0,1
92,20.0,0,0,7.8542,0,0,1,0,1,0,0,1
93,46.0,1,0,61.175,1,0,0,0,1,0,0,1
94,26.0,1,2,20.575,0,0,1,0,1,0,0,1
95,59.0,0,0,7.25,0,0,1,0,1,0,0,1
96,29.69911764705882,0,0,8.05,0,0,1,0,1,0,0,1
97,71.0,0,0,34.6542,1,0,0,0,1,1,0,0
98,23.0,0,1,63.3583,1,0,0,0,1,1,0,0
99,34.0,0,1,23.0,0,1,0,1,0,0,0,1
100,34.0,1,0,26.0,0,1,0,0,1,0,0,1
101,28.0,0,0,7.8958,0,0,1,1,0,0,0,1
102,29.69911764705882,0,0,7.8958,0,0,1,0,1,0,0,1
103,21.0,0,1,77.2875,1,0,0,0,1,0,0,1
104,33.0,0,0,8.6542,0,0,1,0,1,0,0,1
105,37.0,2,0,7.925,0,0,1,0,1,0,0,1
106,28.0,0,0,7.8958,0,0,1,0,1,0,0,1
107,21.0,0,0,7.65,0,0,1,1,0,0,0,1
108,29.69911764705882,0,0,7.775,0,0,1,0,1,0,0,1
109,38.0,0,0,7.8958,0,0,1,0,1,0,0,1
110,29.69911764705882,1,0,24.15,0,0,1,1,0,0,1,0
111,47.0,0,0,52.0,1,0,0,0,1,0,0,1
112,14.5,1,0,14.4542,0,0,1,1,0,1,0,0
113,22.0,0,0,8.05,0,0,1,0,1,0,0,1
114,20.0,1,0,9.825,0,0,1,1,0,0,0,1
115,17.0,0,0,14.4583,0,0,1,1,0,1,0,0
116,21.0,0,0,7.925,0,0,1,0,1,0,0,1
117,70.5,0,0,7.75,0,0,1,0,1,0,1,0
118,29.0,1,0,21.0,0,1,0,0,1,0,0,1
119,24.0,0,1,247.5208,1,0,0,0,1,1,0,0
120,2.0,4,2,31.275,0,0,1,1,0,0,0,1
121,21.0,2,0,73.5,0,1,0,0,1,0,0,1
122,29.69911764705882,0,0,8.05,0,0,1,0,1,0,0,1
123,32.5,1,0,30.0708,0,1,0,0,1,1,0,0
124,32.5,0,0,13.0,0,1,0,1,0,0,0,1
125,54.0,0,1,77.2875,1,0,0,0,1,0,0,1
126,12.0,1,0,11.2417,0,0,1,0,1,1,0,0
127,29.69911764705882,0,0,7.75,0,0,1,0,1,0,1,0
128,24.0,0,0,7.1417,0,0,1,0,1,0,0,1
129,29.69911764705882,1,1,22.3583,0,0,1,1,0,1,0,0
130,45.0,0,0,6.975,0,0,1,0,1,0,0,1
131,33.0,0,0,7.8958,0,0,1,0,1,1,0,0
132,20.0,0,0,7.05,0,0,1,0,1,0,0,1
133,47.0,1,0,14.5,0,0,1,1,0,0,0,1
134,29.0,1,0,26.0,0,1,0,1,0,0,0,1
135,25.0,0,0,13.0,0,1,0,0,1,0,0,1
136,23.0,0,0,15.0458,0,1,0,0,1,1,0,0
137,19.0,0,2,26.2833,1,0,0,1,0,0,0,1
138,37.0,1,0,53.1,1,0,0,0,1,0,0,1
139,16.0,0,0,9.2167,0,0,1,0,1,0,0,1
140,24.0,0,0,79.2,1,0,0,0,1,1,0,0
141,29.69911764705882,0,2,15.2458,0,0,1,1,0,1,0,0
142,22.0,0,0,7.75,0,0,1,1,0,0,0,1
143,24.0,1,0,15.85,0,0,1,1,0,0,0,1
144,19.0,0,0,6.75,0,0,1,0,1,0,1,0
145,18.0,0,0,11.5,0,1,0,0,1,0,0,1
146,19.0,1,1,36.75,0,1,0,0,1,0,0,1
147,27.0,0,0,7.7958,0,0,1,0,1,0,0,1
148,9.0,2,2,34.375,0,0,1,1,0,0,0,1
149,36.5,0,2,26.0,0,1,0,0,1,0,0,1
150,42.0,0,0,13.0,0,1,0,0,1,0,0,1
151,51.0,0,0,12.525,0,1,0,0,1,0,0,1
152,22.0,1,0,66.6,1,0,0,1,0,0,0,1
153,55.5,0,0,8.05,0,0,1,0,1,0,0,1
154,40.5,0,2,14.5,0,0,1,0,1,0,0,1
155,29.69911764705882,0,0,7.3125,0,0,1,0,1,0,0,1
156,51.0,0,1,61.3792,1,0,0,0,1,1,0,0
157,16.0,0,0,7.7333,0,0,1,1,0,0,1,0
158,30.0,0,0,8.05,0,0,1,0,1,0,0,1
159,29.69911764705882,0,0,8.6625,0,0,1,0,1,0,0,1
160,29.69911764705882,8,2,69.55,0,0,1,0,1,0,0,1
161,44.0,0,1,16.1,0,0,1,0,1,0,0,1
162,40.0,0,0,15.75,0,1,0,1,0,0,0,1
163,26.0,0,0,7.775,0,0,1,0,1,0,0,1
164,17.0,0,0,8.6625,0,0,1,0,1,0,0,1
165,1.0,4,1,39.6875,0,0,1,0,1,0,0,1
166,9.0,0,2,20.525,0,0,1,0,1,0,0,1
167,29.69911764705882,0,1,55.0,1,0,0,1,0,0,0,1
168,45.0,1,4,27.9,0,0,1,1,0,0,0,1
169,29.69911764705882,0,0,25.925,1,0,0,0,1,0,0,1
170,28.0,0,0,56.4958,0,0,1,0,1,0,0,1
171,61.0,0,0,33.5,1,0,0,0,1,0,0,1
172,4.0,4,1,29.125,0,0,1,0,1,0,1,0
173,1.0,1,1,11.1333,0,0,1,1,0,0,0,1
174,21.0,0,0,7.925,0,0,1,0,1,0,0,1
175,56.0,0,0,30.6958,1,0,0,0,1,1,0,0
176,18.0,1,1,7.8542,0,0,1,0,1,0,0,1
177,29.69911764705882,3,1,25.4667,0,0,1,0,1,0,0,1
178,50.0,0,0,28.7125,1,0,0,1,0,1,0,0
179,30.0,0,0,13.0,0,1,0,0,1,0,0,1
180,36.0,0,0,0.0,0,0,1,0,1,0,0,1
181,29.69911764705882,8,2,69.55,0,0,1,1,0,0,0,1
182,29.69911764705882,0,0,15.05,0,1,0,0,1,1,0,0
183,9.0,4,2,31.3875,0,0,1,0,1,0,0,1
184,1.0,2,1,39.0,0,1,0,0,1,0,0,1
185,4.0,0,2,22.025,0,0,1,1,0,0,0,1
186,29.69911764705882,0,0,50.0,1,0,0,0,1,0,0,1
187,29.69911764705882,1,0,15.5,0,0,1,1,0,0,1,0
188,45.0,0,0,26.55,1,0,0,0,1,0,0,1
189,40.0,1,1,15.5,0,0,1,0,1,0,1,0
190,36.0,0,0,7.8958,0,0,1,0,1,0,0,1
191,32.0,0,0,13.0,0,1,0,1,0,0,0,1
192,19.0,0,0,13.0,0,1,0,0,1,0,0,1
193,19.0,1,0,7.8542,0,0,1,1,0,0,0,1
194,3.0,1,1,26.0,0,1,0,0,1,0,0,1
195,44.0,0,0,27.7208,1,0,0,1,0,1,0,0
196,58.0,0,0,146.5208,1,0,0,1,0,1,0,0
197,29.69911764705882,0,0,7.75,0,0,1,0,1,0,1,0
198,42.0,0,1,8.4042,0,0,1,0,1,0,0,1
199,29.69911764705882,0,0,7.75,0,0,1,1,0,0,1,0
200,24.0,0,0,13.0,0,1,0,1,0,0,0,1
201,28.0,0,0,9.5,0,0,1,0,1,0,0,1
202,29.69911764705882,8,2,69.55,0,0,1,0,1,0,0,1
203,34.0,0,0,6.4958,0,0,1,0,1,0,0,1
204,45.5,0,0,7.225,0,0,1,0,1,1,0,0
205,18.0,0,0,8.05,0,0,1,0,1,0,0,1
206,2.0,0,1,10.4625,0,0,1,1,0,0,0,1
207,32.0,1,0,15.85,0,0,1,0,1,0,0,1
208,26.0,0,0,18.7875,0,0,1,0,1,1,0,0
209,16.0,0,0,7.75,0,0,1,1,0,0,1,0
210,40.0,0,0,31.0,1,0,0,0,1,1,0,0
211,24.0,0,0,7.05,0,0,1,0,1,0,0,1
212,35.0,0,0,21.0,0,1,0,1,0,0,0,1
213,22.0,0,0,7.25,0,0,1,0,1,0,0,1
214,30.0,0,0,13.0,0,1,0,0,1,0,0,1
215,29.69911764705882,1,0,7.75,0,0,1,0,1,0,1,0
216,31.0,1,0,113.275,1,0,0,1,0,1,0,0
217,27.0,0,0,7.925,0,0,1,1,0,0,0,1
218,42.0,1,0,27.0,0,1,0,0,1,0,0,1
219,32.0,0,0,76.2917,1,0,0,1,0,1,0,0
220,30.0,0,0,10.5,0,1,0,0,1,0,0,1
221,16.0,0,0,8.05,0,0,1,0,1,0,0,1
222,27.0,0,0,13.0,0,1,0,0,1,0,0,1
223,51.0,0,0,8.05,0,0,1,0,1,0,0,1
224,29.69911764705882,0,0,7.8958,0,0,1,0,1,0,0,1
225,38.0,1,0,90.0,1,0,0,0,1,0,0,1
226,22.0,0,0,9.35,0,0,1,0,1,0,0,1
227,19.0,0,0,10.5,0,1,0,0,1,0,0,1
228,20.5,0,0,7.25,0,0,1,0,1,0,0,1
229,18.0,0,0,13.0,0,1,0,0,1,0,0,1
230,29.69911764705882,3,1,25.4667,0,0,1,1,0,0,0,1
231,35.0,1,0,83.475,1,0,0,1,0,0,0,1
232,29.0,0,0,7.775,0,0,1,0,1,0,0,1
233,59.0,0,0,13.5,0,1,0,0,1,0,0,1
234,5.0,4,2,31.3875,0,0,1,1,0,0,0,1
235,24.0,0,0,10.5,0,1,0,0,1,0,0,1
236,29.69911764705882,0,0,7.55,0,0,1,1,0,0,0,1
237,44.0,1,0,26.0,0,1,0,0,1,0,0,1
238,8.0,0,2,26.25,0,1,0,1,0,0,0,1
239,19.0,0,0,10.5,0,1,0,0,1,0,0,1
240,33.0,0,0,12.275,0,1,0,0,1,0,0,1
241,29.69911764705882,1,0,14.4542,0,0,1,1,0,1,0,0
242,29.69911764705882,1,0,15.5,0,0,1,1,0,0,1,0
243,29.0,0,0,10.5,0,1,0,0,1,0,0,1
244,22.0,0,0,7.125,0,0,1,0,1,0,0,1
245,30.0,0,0,7.225,0,0,1,0,1,1,0,0
246,44.0,2,0,90.0,1,0,0,0,1,0,1,0
247,25.0,0,0,7.775,0,0,1,1,0,0,0,1
248,24.0,0,2,14.5,0,1,0,1,0,0,0,1
249,37.0,1,1,52.5542,1,0,0,0,1,0,0,1
250,54.0,1,0,26.0,0,1,0,0,1,0,0,1
251,29.69911764705882,0,0,7.25,0,0,1,0,1,0,0,1
252,29.0,1,1,10.4625,0,0,1,1,0,0,0,1
253,62.0,0,0,26.55,1,0,0,0,1,0,0,1
254,30.0,1,0,16.1,0,0,1,0,1,0,0,1
255,41.0,0,2,20.2125,0,0,1,1,0,0,0,1
256,29.0,0,2,15.2458,0,0,1,1,0,1,0,0
257,29.69911764705882,0,0,79.2,1,0,0,1,0,1,0,0
258,30.0,0,0,86.5,1,0,0,1,0,0,0,1
259,35.0,0,0,512.3292,1,0,0,1,0,1,0,0
260,50.0,0,1,26.0,0,1,0,1,0,0,0,1
261,29.69911764705882,0,0,7.75,0,0,1,0,1,0,1,0
262,3.0,4,2,31.3875,0,0,1,0,1,0,0,1
263,52.0,1,1,79.65,1,0,0,0,1,0,0,1
264,40.0,0,0,0.0,1,0,0,0,1,0,0,1
265,29.69911764705882,0,0,7.75,0,0,1,1,0,0,1,0
266,36.0,0,0,10.5,0,1,0,0,1,0,0,1
267,16.0,4,1,39.6875,0,0,1,0,1,0,0,1
268,25.0,1,0,7.775,0,0,1,0,1,0,0,1
269,58.0,0,1,153.4625,1,0,0,1,0,0,0,1
270,35.0,0,0,135.6333,1,0,0,1,0,0,0,1
271,29.69911764705882,0,0,31.0,1,0,0,0,1,0,0,1
272,25.0,0,0,0.0,0,0,1,0,1,0,0,1
273,41.0,0,1,19.5,0,1,0,1,0,0,0,1
274,37.0,0,1,29.7,1,0,0,0,1,1,0,0
275,29.69911764705882,0,0,7.75,0,0,1,1,0,0,1,0
276,63.0,1,0,77.9583,1,0,0,1,0,0,0,1
277,45.0,0,0,7.75,0,0,1,1,0,0,0,1
278,29.69911764705882,0,0,0.0,0,1,0,0,1,0,0,1
279,7.0,4,1,29.125,0,0,1,0,1,0,1,0
280,35.0,1,1,20.25,0,0,1,1,0,0,0,1
281,65.0,0,0,7.75,0,0,1,0,1,0,1,0
282,28.0,0,0,7.8542,0,0,1,0,1,0,0,1
283,16.0,0,0,9.5,0,0,1,0,1,0,0,1
284,19.0,0,0,8.05,0,0,1,0,1,0,0,1
285,29.69911764705882,0,0,26.0,1,0,0,0,1,0,0,1
286,33.0,0,0,8.6625,0,0,1,0,1,1,0,0
287,30.0,0,0,9.5,0,0,1,0,1,0,0,1
288,22.0,0,0,7.8958,0,0,1,0,1,0,0,1
289,42.0,0,0,13.0,0,1,0,0,1,0,0,1
290,22.0,0,0,7.75,0,0,1,1,0,0,1,0
291,26.0,0,0,78.85,1,0,0,1,0,0,0,1
292,19.0,1,0,91.0792,1,0,0,1,0,1,0,0
293,36.0,0,0,12.875,0,1,0,0,1,1,0,0
294,24.0,0,0,8.85,0,0,1,1,0,0,0,1
295,24.0,0,0,7.8958,0,0,1,0,1,0,0,1
296,29.69911764705882,0,0,27.7208,1,0,0,0,1,1,0,0
297,23.5,0,0,7.2292,0,0,1,0,1,1,0,0
298,2.0,1,2,151.55,1,0,0,1,0,0,0,1
299,29.69911764705882,0,0,30.5,1,0,0,0,1,0,0,1
300,50.0,0,1,247.5208,1,0,0,1,0,1,0,0
301,29.69911764705882,0,0,7.75,0,0,1,1,0,0,1,0
302,29.69911764705882,2,0,23.25,0,0,1,0,1,0,1,0
303,19.0,0,0,0.0,0,0,1,0,1,0,0,1
304,29.69911764705882,0,0,12.35,0,1,0,1,0,0,1,0
305,29.69911764705882,0,0,8.05,0,0,1,0,1,0,0,1
306,0.92,1,2,151.55,1,0,0,0,1,0,0,1
307,29.69911764705882,0,0,110.8833,1,0,0,1,0,1,0,0
308,17.0,1,0,108.9,1,0,0,1,0,1,0,0
309,30.0,1,0,24.0,0,1,0,0,1,1,0,0
310,30.0,0,0,56.9292,1,0,0,1,0,1,0,0
311,24.0,0,0,83.1583,1,0,0,1,0,1,0,0
312,18.0,2,2,262.375,1,0,0,1,0,1,0,0
313,26.0,1,1,26.0,0,1,0,1,0,0,0,1
314,28.0,0,0,7.8958,0,0,1,0,1,0,0,1
315,43.0,1,1,26.25,0,1,0,0,1,0,0,1
316,26.0,0,0,7.8542,0,0,1,1,0,0,0,1
317,24.0,1,0,26.0,0,1,0,1,0,0,0,1
318,54.0,0,0,14.0,0,1,0,0,1,0,0,1
319,31.0,0,2,164.8667,1,0,0,1,0,0,0,1
320,40.0,1,1,134.5,1,0,0,1,0,1,0,0
321,22.0,0,0,7.25,0,0,1,0,1,0,0,1
322,27.0,0,0,7.8958,0,0,1,0,1,0,0,1
323,30.0,0,0,12.35,0,1,0,1,0,0,1,0
324,22.0,1,1,29.0,0,1,0,1,0,0,0,1
325,29.69911764705882,8,2,69.55,0,0,1,0,1,0,0,1
326,36.0,0,0,135.6333,1,0,0,1,0,1,0,0
327,61.0,0,0,6.2375,0,0,1,0,1,0,0,1
328,36.0,0,0,13.0,0,1,0,1,0,0,0,1
329,31.0,1,1,20.525,0,0,1,1,0,0,0,1
330,16.0,0,1,57.9792,1,0,0,1,0,1,0,0
331,29.69911764705882,2,0,23.25,0,0,1,1,0,0,1,0
332,45.5,0,0,28.5,1,0,0,0,1,0,0,1
333,38.0,0,1,153.4625,1,0,0,0,1,0,0,1
334,16.0,2,0,18.0,0,0,1,0,1,0,0,1
335,29.69911764705882,1,0,133.65,1,0,0,1,0,0,0,1
336,29.69911764705882,0,0,7.8958,0,0,1,0,1,0,0,1
337,29.0,1,0,66.6,1,0,0,0,1,0,0,1
338,41.0,0,0,134.5,1,0,0,1,0,1,0,0
339,45.0,0,0,8.05,0,0,1,0,1,0,0,1
340,45.0,0,0,35.5,1,0,0,0,1,0,0,1
341,2.0,1,1,26.0,0,1,0,0,1,0,0,1
342,24.0,3,2,263.0,1,0,0,1,0,0,0,1
343,28.0,0,0,13.0,0,1,0,0,1,0,0,1
344,25.0,0,0,13.0,0,1,0,0,1,0,0,1
345,36.0,0,0,13.0,0,1,0,0,1,0,0,1
346,24.0,0,0,13.0,0,1,0,1,0,0,0,1
347,40.0,0,0,13.0,0,1,0,1,0,0,0,1
348,29.69911764705882,1,0,16.1,0,0,1,1,0,0,0,1
349,3.0,1,1,15.9,0,0,1,0,1,0,0,1
350,42.0,0,0,8.6625,0,0,1,0,1,0,0,1
351,23.0,0,0,9.225,0,0,1,0,1,0,0,1
352,29.69911764705882,0,0,35.0,1,0,0,0,1,0,0,1
353,15.0,1,1,7.2292,0,0,1,0,1,1,0,0
354,25.0,1,0,17.8,0,0,1,0,1,0,0,1
355,29.69911764705882,0,0,7.225,0,0,1,0,1,1,0,0
356,28.0,0,0,9.5,0,0,1,0,1,0,0,1
357,22.0,0,1,55.0,1,0,0,1,0,0,0,1
358,38.0,0,0,13.0,0,1,0,1,0,0,0,1
359,29.69911764705882,0,0,7.8792,0,0,1,1,0,0,1,0
360,29.69911764705882,0,0,7.8792,0,0,1,1,0,0,1,0
361,40.0,1,4,27.9,0,0,1,0,1,0,0,1
362,29.0,1,0,27.7208,0,1,0,0,1,1,0,0
363,45.0,0,1,14.4542,0,0,1,1,0,1,0,0
364,35.0,0,0,7.05,0,0,1,0,1,0,0,1
365,29.69911764705882,1,0,15.5,0,0,1,0,1,0,1,0
366,30.0,0,0,7.25,0,0,1,0,1,0,0,1
367,60.0,1,0,75.25,1,0,0,1,0,1,0,0
368,29.69911764705882,0,0,7.2292,0,0,1,1,0,1,0,0
369,29.69911764705882,0,0,7.75,0,0,1,1,0,0,1,0
370,24.0,0,0,69.3,1,0,0,1,0,1,0,0
371,25.0,1,0,55.4417,1,0,0,0,1,1,0,0
372,18.0,1,0,6.4958,0,0,1,0,1,0,0,1
373,19.0,0,0,8.05,0,0,1,0,1,0,0,1
374,22.0,0,0,135.6333,1,0,0,0,1,1,0,0
375,3.0,3,1,21.075,0,0,1,1,0,0,0,1
376,29.69911764705882,1,0,82.1708,1,0,0,1,0,1,0,0
377,22.0,0,0,7.25,0,0,1,1,0,0,0,1
378,27.0,0,2,211.5,1,0,0,0,1,1,0,0
379,20.0,0,0,4.0125,0,0,1,0,1,1,0,0
380,19.0,0,0,7.775,0,0,1,0,1,0,0,1
381,42.0,0,0,227.525,1,0,0,1,0,1,0,0
382,1.0,0,2,15.7417,0,0,1,1,0,1,0,0
383,32.0,0,0,7.925,0,0,1,0,1,0,0,1
384,35.0,1,0,52.0,1,0,0,1,0,0,0,1
385,29.69911764705882,0,0,7.8958,0,0,1,0,1,0,0,1
386,18.0,0,0,73.5,0,1,0,0,1,0,0,1
387,1.0,5,2,46.9,0,0,1,0,1,0,0,1
388,36.0,0,0,13.0,0,1,0,1,0,0,0,1
389,29.69911764705882,0,0,7.7292,0,0,1,0,1,0,1,0
390,17.0,0,0,12.0,0,1,0,1,0,1,0,0
391,36.0,1,2,120.0,1,0,0,0,1,0,0,1
392,21.0,0,0,7.7958,0,0,1,0,1,0,0,1
393,28.0,2,0,7.925,0,0,1,0,1,0,0,1
394,23.0,1,0,113.275,1,0,0,1,0,1,0,0
395,24.0,0,2,16.7,0,0,1,1,0,0,0,1
396,22.0,0,0,7.7958,0,0,1,0,1,0,0,1
397,31.0,0,0,7.8542,0,0,1,1,0,0,0,1
398,46.0,0,0,26.0,0,1,0,0,1,0,0,1
399,23.0,0,0,10.5,0,1,0,0,1,0,0,1
400,28.0,0,0,12.65,0,1,0,1,0,0,0,1
401,39.0,0,0,7.925,0,0,1,0,1,0,0,1
402,26.0,0,0,8.05,0,0,1,0,1,0,0,1
403,21.0,1,0,9.825,0,0,1,1,0,0,0,1
404,28.0,1,0,15.85,0,0,1,0,1,0,0,1
405,20.0,0,0,8.6625,0,0,1,1,0,0,0,1
406,34.0,1,0,21.0,0,1,0,0,1,0,0,1
407,51.0,0,0,7.75,0,0,1,0,1,0,0,1
408,3.0,1,1,18.75,0,1,0,0,1,0,0,1
409,21.0,0,0,7.775,0,0,1,0,1,0,0,1
410,29.69911764705882,3,1,25.4667,0,0,1,1,0,0,0,1
411,29.69911764705882,0,0,7.8958,0,0,1,0,1,0,0,1
412,29.69911764705882,0,0,6.8583,0,0,1,0,1,0,1,0
413,33.0,1,0,90.0,1,0,0,1,0,0,1,0
414,29.69911764705882,0,0,0.0,0,1,0,0,1,0,0,1
415,44.0,0,0,7.925,0,0,1,0,1,0,0,1
416,29.69911764705882,0,0,8.05,0,0,1,1,0,0,0,1
417,34.0,1,1,32.5,0,1,0,1,0,0,0,1
418,18.0,0,2,13.0,0,1,0,1,0,0,0,1
419,30.0,0,0,13.0,0,1,0,0,1,0,0,1
420,10.0,0,2,24.15,0,0,1,1,0,0,0,1
421,29.69911764705882,0,0,7.8958,0,0,1,0,1,1,0,0
422,21.0,0,0,7.7333,0,0,1,0,1,0,1,0
423,29.0,0,0,7.875,0,0,1,0,1,0,0,1
424,28.0,1,1,14.4,0,0,1,1,0,0,0,1
425,18.0,1,1,20.2125,0,0,1,0,1,0,0,1
426,29.69911764705882,0,0,7.25,0,0,1,0,1,0,0,1
427,28.0,1,0,26.0,0,1,0,1,0,0,0,1
428,19.0,0,0,26.0,0,1,0,1,0,0,0,1
429,29.69911764705882,0,0,7.75,0,0,1,0,1,0,1,0
430,32.0,0,0,8.05,0,0,1,0,1,0,0,1
431,28.0,0,0,26.55,1,0,0,0,1,0,0,1
432,29.69911764705882,1,0,16.1,0,0,1,1,0,0,0,1
433,42.0,1,0,26.0,0,1,0,1,0,0,0,1
434,17.0,0,0,7.125,0,0,1,0,1,0,0,1
435,50.0,1,0,55.9,1,0,0,0,1,0,0,1
436,14.0,1,2,120.0,1,0,0,1,0,0,0,1
437,21.0,2,2,34.375,0,0,1,1,0,0,0,1
438,24.0,2,3,18.75,0,1,0,1,0,0,0,1
439,64.0,1,4,263.0,1,0,0,0,1,0,0,1
440,31.0,0,0,10.5,0,1,0,0,1,0,0,1
441,45.0,1,1,26.25,0,1,0,1,0,0,0,1
442,20.0,0,0,9.5,0,0,1,0,1,0,0,1
443,25.0,1,0,7.775,0,0,1,0,1,0,0,1
444,28.0,0,0,13.0,0,1,0,1,0,0,0,1
445,29.69911764705882,0,0,8.1125,0,0,1,0,1,0,0,1
