,burglary,common assault,larceny,robbery - street,auto theft,agg. assault,larceny from auto,shooting,robbery - residence,robbery - commercial,arson,homicide,robbery - carjacking,rape
2014-04-21,,19,31,5,11,14,18,1,1,0,1.0,0.0,0.0,1.0
2014-04-22,,23,22,4,9,12,21,0,0,2,3.0,1.0,0.0,0.0
2014-04-23,,25,37,3,6,14,24,0,2,1,0.0,0.0,0.0,0.0
2014-04-24,,25,24,7,8,16,21,1,2,1,0.0,0.0,1.0,0.0
2014-04-25,,27,33,10,16,15,12,1,1,0,0.0,0.0,0.0,0.0
2014-04-26,,27,46,3,10,15,14,1,3,1,1.0,0.0,0.0,0.0
2014-04-27,,38,30,4,12,21,10,3,3,1,2.0,2.0,1.0,1.0
2014-04-28,,24,39,8,11,15,14,1,2,1,2.0,0.0,0.0,1.0
2014-04-29,,26,28,9,12,8,18,0,1,1,0.0,0.0,0.0,2.0
2014-04-30,,20,32,7,10,6,16,1,2,4,0.0,0.0,0.0,0.0
2014-05-01,,24,41,11,11,12,14,1,0,1,1.0,0.0,0.0,0.0
2014-05-02,,22,32,6,10,15,13,1,1,1,0.0,0.0,0.0,1.0
2014-05-03,,24,24,7,4,13,17,1,1,2,0.0,3.0,0.0,0.0
2014-05-04,,22,40,8,5,11,18,0,1,1,2.0,0.0,0.0,1.0
2014-05-05,,25,39,4,7,14,16,4,1,3,0.0,1.0,0.0,0.0
2014-05-06,,27,35,9,8,13,15,1,1,0,1.0,1.0,1.0,1.0
2014-05-07,,25,34,8,15,13,12,0,2,1,2.0,1.0,1.0,1.0
2014-05-08,,24,35,2,9,7,22,1,2,1,1.0,0.0,1.0,1.0
2014-05-09,,19,39,11,9,17,19,1,0,0,0.0,1.0,2.0,1.0
2014-05-10,,28,27,6,12,12,12,0,2,2,0.0,0.0,0.0,0.0
2014-05-11,,25,21,11,11,16,18,0,1,1,1.0,2.0,0.0,0.0
2014-05-12,,20,26,9,16,14,16,1,1,3,1.0,1.0,0.0,1.0
2014-05-13,,20,29,10,8,17,26,0,1,2,0.0,0.0,0.0,0.0
2014-05-14,,26,33,5,9,12,18,1,0,1,0.0,0.0,1.0,0.0
2014-05-15,,30,36,4,15,13,26,0,3,0,0.0,1.0,0.0,0.0
2014-05-16,,18,43,2,16,14,23,3,1,0,1.0,1.0,1.0,0.0
2014-05-17,,36,45,4,16,21,18,5,1,2,2.0,1.0,0.0,0.0
2014-05-18,,25,27,11,10,10,17,0,0,0,0.0,0.0,0.0,1.0
2014-05-19,,21,52,8,9,8,16,1,0,2,1.0,0.0,0.0,1.0
2014-05-20,,23,50,3,9,16,19,0,2,2,1.0,0.0,1.0,1.0
2014-05-21,,18,25,9,10,20,18,4,2,5,0.0,2.0,1.0,1.0
2014-05-22,,25,30,13,7,19,32,4,0,2,0.0,1.0,0.0,0.0
2014-05-23,,25,43,7,6,16,16,2,0,1,2.0,1.0,0.0,0.0
2014-05-24,,17,32,10,10,18,20,0,1,1,1.0,1.0,0.0,2.0
2014-05-25,,21,27,4,16,15,21,0,0,3,1.0,0.0,0.0,2.0
2014-05-26,,30,18,3,11,20,18,2,1,2,1.0,1.0,0.0,3.0
2014-05-27,,24,33,8,8,20,18,0,1,1,4.0,2.0,0.0,3.0
2014-05-28,,18,35,13,8,9,17,3,0,6,0.0,0.0,2.0,0.0
2014-05-29,,18,34,5,6,8,12,1,2,4,1.0,0.0,1.0,0.0
2014-05-30,,19,34,7,14,13,12,1,0,1,0.0,0.0,0.0,1.0
2014-05-31,,18,25,10,10,14,26,0,0,3,2.0,2.0,0.0,1.0
2014-06-01,,13,32,6,10,12,22,0,2,2,1.0,2.0,0.0,3.0
2014-06-02,,29,37,13,9,13,14,4,4,1,0.0,1.0,0.0,0.0
2014-06-03,,23,24,8,8,11,15,0,0,2,1.0,2.0,0.0,0.0
2014-06-04,,23,49,11,14,7,12,0,0,2,1.0,0.0,1.0,1.0
2014-06-05,,27,32,6,8,12,17,0,2,0,0.0,0.0,2.0,0.0
2014-06-06,,29,37,3,10,10,18,1,2,2,0.0,1.0,0.0,1.0
2014-06-07,,31,33,3,5,9,22,0,0,2,0.0,1.0,0.0,1.0
2014-06-08,,19,35,8,12,19,10,2,5,3,1.0,2.0,0.0,1.0
2014-06-09,,29,39,9,9,11,26,1,2,1,0.0,0.0,1.0,0.0
2014-06-10,,21,32,5,7,13,10,1,0,3,0.0,0.0,1.0,0.0
2014-06-11,,23,34,8,13,8,15,0,0,0,1.0,0.0,1.0,2.0
2014-06-12,,24,29,8,11,15,10,1,0,0,1.0,0.0,0.0,0.0
2014-06-13,,17,33,8,4,13,19,0,1,2,0.0,0.0,0.0,1.0
2014-06-14,,24,41,8,12,19,16,0,0,2,2.0,1.0,2.0,1.0
2014-06-15,,32,32,10,12,16,30,4,0,0,0.0,0.0,0.0,0.0
2014-06-16,,22,44,6,11,13,31,2,0,0,1.0,1.0,0.0,1.0
2014-06-17,,23,32,8,12,10,19,1,0,0,1.0,0.0,0.0,0.0
2014-06-18,,18,36,4,16,9,23,0,4,2,0.0,0.0,1.0,0.0
2014-06-19,,17,26,11,12,7,20,2,1,4,0.0,0.0,0.0,0.0
2014-06-20,,21,46,17,12,5,21,0,0,3,0.0,0.0,1.0,1.0
2014-06-21,,18,29,7,12,9,30,0,1,4,0.0,2.0,0.0,1.0
2014-06-22,,27,24,4,11,7,13,1,0,1,0.0,0.0,0.0,0.0
2014-06-23,,21,33,2,6,20,27,1,0,1,2.0,0.0,0.0,1.0
2014-06-24,,25,29,7,17,19,36,3,2,6,0.0,0.0,0.0,1.0
2014-06-25,,14,37,4,15,10,24,2,1,1,0.0,0.0,0.0,1.0
2014-06-26,,20,29,6,18,5,19,1,3,0,0.0,1.0,0.0,1.0
2014-06-27,,22,36,11,8,7,25,0,2,1,1.0,0.0,1.0,1.0
2014-06-28,,27,40,8,15,14,23,0,4,5,0.0,0.0,0.0,0.0
2014-06-29,,12,24,7,12,15,33,1,0,0,1.0,3.0,1.0,0.0
2014-06-30,,14,30,8,8,7,24,3,4,2,0.0,0.0,0.0,0.0
2014-07-01,,21,31,3,12,27,18,2,2,2,0.0,1.0,1.0,1.0
2014-07-02,,22,22,10,11,11,18,2,1,0,0.0,0.0,0.0,2.0
2014-07-03,,12,34,2,9,8,17,1,0,1,2.0,0.0,1.0,0.0
2014-07-04,,23,19,9,9,10,16,0,4,1,1.0,2.0,0.0,1.0
2014-07-05,,21,34,8,1,16,18,4,3,1,0.0,3.0,0.0,0.0
2014-07-06,,25,31,5,17,7,27,1,2,3,2.0,0.0,0.0,3.0
2014-07-07,,21,32,8,13,10,24,1,0,1,1.0,0.0,1.0,0.0
2014-07-08,,10,35,9,13,11,27,1,0,1,0.0,1.0,0.0,0.0
2014-07-09,,18,39,9,16,9,25,0,1,1,0.0,0.0,1.0,1.0
2014-07-10,,29,32,1,12,10,22,0,0,4,2.0,0.0,1.0,1.0
2014-07-11,,18,31,8,16,16,22,1,1,0,1.0,0.0,0.0,0.0
2014-07-12,,21,40,9,10,12,16,1,0,2,0.0,0.0,0.0,1.0
2014-07-13,,22,26,5,16,13,29,0,3,0,0.0,0.0,0.0,1.0
2014-07-14,,24,29,7,10,8,27,2,1,1,0.0,0.0,0.0,0.0
2014-07-15,,14,27,7,18,11,22,1,1,3,0.0,1.0,0.0,1.0
2014-07-16,,17,35,8,14,6,31,0,1,1,0.0,4.0,0.0,0.0
2014-07-17,,19,31,1,16,13,25,1,1,1,0.0,3.0,0.0,1.0
2014-07-18,,19,40,0,9,18,19,2,3,1,1.0,0.0,0.0,0.0
2014-07-19,,36,25,8,10,13,18,0,1,0,0.0,0.0,0.0,0.0
2014-07-20,,20,44,12,10,15,30,0,2,1,3.0,1.0,0.0,0.0
2014-07-21,,17,46,8,10,18,16,1,0,2,2.0,0.0,0.0,1.0
2014-07-22,,19,37,5,15,16,12,1,2,2,0.0,0.0,0.0,0.0
2014-07-23,,22,28,2,14,10,32,4,0,1,0.0,1.0,1.0,0.0
2014-07-24,,20,38,6,9,12,25,1,0,3,2.0,0.0,0.0,0.0
2014-07-25,,13,40,13,16,10,27,4,0,2,0.0,0.0,0.0,1.0
2014-07-26,,19,30,5,9,11,33,1,3,1,2.0,1.0,0.0,0.0
2014-07-27,,26,36,11,5,15,28,4,7,2,0.0,0.0,1.0,1.0
2014-07-28,,12,29,5,6,9,21,1,0,2,1.0,0.0,0.0,0.0
2014-07-29,,17,43,6,14,17,18,3,2,0,0.0,0.0,0.0,0.0
2014-07-30,,14,47,6,8,14,20,5,1,1,1.0,1.0,0.0,0.0
2014-07-31,,22,27,5,10,13,29,4,1,0,2.0,2.0,0.0,0.0
2014-08-01,,20,55,7,14,23,17,6,3,3,2.0,2.0,0.0,2.0
2014-08-02,,18,27,4,6,17,23,0,1,1,0.0,0.0,1.0,0.0
2014-08-03,,22,32,4,15,15,19,3,2,1,0.0,1.0,0.0,0.0
2014-08-04,,18,38,6,6,11,18,1,1,3,1.0,0.0,0.0,1.0
2014-08-05,,17,34,10,9,6,18,1,0,2,1.0,1.0,0.0,1.0
2014-08-06,,23,36,8,10,10,30,0,4,3,1.0,0.0,0.0,2.0
2014-08-07,,19,33,6,8,14,26,1,2,4,0.0,1.0,1.0,2.0
2014-08-08,,24,50,7,10,12,18,4,0,2,0.0,0.0,1.0,1.0
2014-08-09,,20,20,2,15,9,15,1,1,0,0.0,3.0,0.0,1.0
2014-08-10,,24,29,8,14,16,34,0,4,3,1.0,1.0,2.0,1.0
2014-08-11,,17,50,9,11,19,23,3,4,0,2.0,3.0,0.0,0.0
2014-08-12,,11,19,5,11,6,15,1,2,2,0.0,0.0,0.0,1.0
2014-08-13,,21,28,8,7,11,22,2,1,2,0.0,0.0,0.0,0.0
2014-08-14,,12,44,4,11,10,33,1,2,3,1.0,0.0,0.0,0.0
2014-08-15,,27,41,10,12,4,28,0,3,3,0.0,1.0,0.0,1.0
2014-08-16,,24,30,5,9,12,14,0,0,2,1.0,1.0,0.0,0.0
2014-08-17,,15,30,11,10,14,15,1,2,0,1.0,0.0,2.0,3.0
2014-08-18,,15,39,18,8,10,19,3,2,1,0.0,0.0,1.0,3.0
2014-08-19,,9,36,7,19,12,27,1,1,4,0.0,0.0,0.0,0.0
2014-08-20,,17,43,9,12,13,26,0,0,1,0.0,2.0,0.0,0.0
2014-08-21,,15,24,5,13,10,21,1,2,0,1.0,1.0,1.0,0.0
2014-08-22,,16,27,15,7,5,31,2,2,3,0.0,2.0,0.0,0.0
2014-08-23,,19,29,13,8,14,13,3,0,2,0.0,0.0,1.0,0.0
2014-08-24,,11,23,5,10,13,21,1,2,1,2.0,3.0,0.0,1.0
2014-08-25,,31,34,14,11,15,22,0,1,5,0.0,0.0,2.0,0.0
2014-08-26,,19,37,14,10,8,15,2,1,1,3.0,1.0,0.0,1.0
2014-08-27,,13,37,13,9,14,16,3,2,1,2.0,1.0,2.0,0.0
2014-08-28,,21,28,6,10,12,16,1,0,1,1.0,0.0,2.0,1.0
2014-08-29,,25,53,11,6,11,17,0,1,1,1.0,1.0,0.0,1.0
2014-08-30,,18,25,8,10,10,18,0,2,3,0.0,0.0,0.0,0.0
2014-08-31,,27,26,5,11,22,23,5,0,2,0.0,1.0,1.0,0.0
2014-09-01,,41,32,14,7,20,23,1,0,1,0.0,2.0,1.0,2.0
2014-09-02,,26,41,11,8,17,25,1,5,0,0.0,1.0,1.0,0.0
2014-09-03,,17,26,12,10,12,15,1,0,0,0.0,2.0,2.0,1.0
2014-09-04,,24,36,11,11,10,18,1,2,1,0.0,0.0,2.0,3.0
2014-09-05,,24,39,6,10,18,22,0,0,2,0.0,0.0,0.0,0.0
2014-09-06,,20,33,10,12,13,28,3,1,1,0.0,1.0,0.0,1.0
2014-09-07,,31,29,4,8,13,21,0,0,4,0.0,0.0,0.0,0.0
2014-09-08,,15,34,9,11,7,17,0,3,2,2.0,0.0,0.0,0.0
2014-09-09,,21,34,2,8,12,14,1,0,4,1.0,0.0,1.0,0.0
2014-09-10,,21,42,5,9,15,24,2,2,4,0.0,0.0,0.0,0.0
2014-09-11,,16,40,8,14,6,23,1,0,2,0.0,1.0,0.0,2.0
2014-09-12,,15,47,10,7,24,14,2,0,0,1.0,0.0,0.0,0.0
2014-09-13,,19,32,5,3,8,18,2,1,2,1.0,0.0,0.0,0.0
2014-09-14,,31,28,4,12,5,13,1,1,0,1.0,0.0,1.0,2.0
2014-09-15,,12,41,6,4,10,15,1,0,4,1.0,0.0,0.0,0.0
2014-09-16,,17,38,6,12,11,12,1,2,4,0.0,0.0,1.0,0.0
2014-09-17,,25,42,8,9,9,18,0,0,0,0.0,0.0,0.0,0.0
2014-09-18,,27,48,13,8,17,23,0,2,1,0.0,2.0,0.0,2.0
2014-09-19,,21,33,3,5,10,14,0,0,2,0.0,0.0,0.0,0.0
2014-09-20,,19,27,7,10,16,24,1,0,4,0.0,1.0,0.0,2.0
2014-09-21,,28,35,7,8,14,30,0,2,4,1.0,2.0,0.0,0.0
2014-09-22,,15,41,25,7,7,20,1,7,0,1.0,1.0,0.0,1.0
2014-09-23,,32,34,12,14,8,13,0,1,6,1.0,2.0,1.0,0.0
2014-09-24,,17,22,19,12,15,17,1,1,0,0.0,0.0,0.0,0.0
2014-09-25,,15,26,10,7,11,21,2,0,3,7.0,1.0,1.0,0.0
2014-09-26,,23,41,9,13,13,20,1,2,0,0.0,1.0,1.0,0.0
2014-09-27,,21,38,5,12,14,15,1,0,3,0.0,0.0,0.0,2.0
2014-09-28,,19,47,4,13,11,13,0,1,0,0.0,1.0,0.0,0.0
2014-09-29,,23,44,9,13,13,21,1,6,3,1.0,0.0,0.0,0.0
2014-09-30,,24,43,7,4,15,12,1,0,3,0.0,1.0,0.0,2.0
2014-10-01,,21,30,7,5,8,23,1,0,1,0.0,1.0,0.0,2.0
2014-10-02,,18,30,12,7,13,19,0,0,0,0.0,0.0,0.0,0.0
2014-10-03,,24,32,11,12,10,29,0,4,7,1.0,0.0,0.0,0.0
2014-10-04,,29,34,7,8,20,17,2,3,4,0.0,1.0,2.0,4.0
2014-10-05,,15,26,8,12,17,17,1,2,3,2.0,1.0,0.0,0.0
2014-10-06,,18,21,9,7,10,14,1,3,0,0.0,1.0,0.0,1.0
2014-10-07,,19,35,10,4,7,25,2,2,3,2.0,2.0,0.0,0.0
2014-10-08,,18,32,7,15,4,17,0,4,3,2.0,0.0,0.0,0.0
2014-10-09,,24,28,16,12,10,14,2,1,1,0.0,2.0,0.0,0.0
2014-10-10,,20,36,8,12,9,22,1,1,1,1.0,2.0,0.0,1.0
2014-10-11,,21,19,11,9,12,20,1,1,0,0.0,1.0,4.0,0.0
2014-10-12,,21,37,7,12,13,22,2,2,3,0.0,0.0,0.0,0.0
2014-10-13,,27,36,10,8,13,17,0,1,3,2.0,0.0,0.0,1.0
2014-10-14,,18,28,7,13,13,27,2,2,3,0.0,0.0,0.0,0.0
2014-10-15,,19,28,8,11,9,10,1,3,9,1.0,1.0,0.0,0.0
2014-10-16,,28,25,10,7,8,28,1,1,1,1.0,0.0,2.0,1.0
2014-10-17,,18,30,7,6,13,28,1,3,7,0.0,0.0,0.0,1.0
2014-10-18,,24,27,12,11,16,21,0,0,2,0.0,0.0,1.0,0.0
2014-10-19,,13,30,3,11,8,24,0,1,1,2.0,0.0,0.0,0.0
2014-10-20,,16,39,19,9,5,21,1,3,1,1.0,0.0,0.0,1.0
2014-10-21,,20,27,12,8,18,19,0,0,1,0.0,0.0,0.0,0.0
2014-10-22,,18,34,8,13,8,42,1,1,2,0.0,1.0,0.0,1.0
2014-10-23,,19,28,12,6,13,24,2,1,4,1.0,1.0,2.0,0.0
2014-10-24,,26,34,12,15,11,20,0,0,7,1.0,0.0,0.0,0.0
2014-10-25,,23,28,5,11,12,21,3,0,6,4.0,1.0,2.0,0.0
2014-10-26,,17,28,4,9,10,31,2,2,0,1.0,0.0,0.0,2.0
2014-10-27,,18,30,6,3,15,27,1,1,1,0.0,0.0,0.0,1.0
2014-10-28,,16,42,12,13,13,26,0,0,0,2.0,1.0,0.0,2.0
2014-10-29,,20,46,9,14,4,21,2,1,2,0.0,1.0,0.0,0.0
2014-10-30,,19,39,14,13,9,22,1,4,3,0.0,0.0,0.0,2.0
2014-10-31,,25,32,6,12,9,27,0,1,1,0.0,1.0,0.0,1.0
2014-11-01,,18,31,5,12,24,9,0,1,1,0.0,1.0,0.0,2.0
2014-11-02,,14,25,5,14,13,20,1,0,4,0.0,1.0,0.0,1.0
2014-11-03,,12,28,7,11,12,23,0,1,5,0.0,1.0,0.0,1.0
2014-11-04,,14,26,4,13,13,9,2,2,1,1.0,0.0,0.0,1.0
2014-11-05,,15,26,13,8,16,24,2,1,1,1.0,1.0,0.0,0.0
2014-11-06,,19,23,7,11,12,21,1,1,2,0.0,0.0,1.0,0.0
2014-11-07,,16,39,11,4,11,26,1,4,1,2.0,0.0,1.0,0.0
2014-11-08,,22,24,7,11,13,11,4,0,0,0.0,0.0,0.0,2.0
2014-11-09,,24,24,8,11,9,27,0,1,2,1.0,1.0,4.0,0.0
2014-11-10,,14,31,5,13,7,18,0,1,1,1.0,2.0,1.0,1.0
2014-11-11,,24,35,13,10,14,7,1,3,2,2.0,0.0,0.0,1.0
2014-11-12,,21,29,12,13,10,20,4,1,1,1.0,0.0,0.0,0.0
2014-11-13,,22,30,12,9,7,20,0,1,2,0.0,0.0,1.0,0.0
2014-11-14,,25,25,12,12,12,8,2,1,3,1.0,0.0,1.0,0.0
2014-11-15,,20,33,6,8,16,15,1,1,5,0.0,0.0,1.0,0.0
2014-11-16,,22,12,3,11,14,15,0,0,1,3.0,0.0,1.0,0.0
2014-11-17,,16,29,7,9,7,20,1,1,2,0.0,0.0,0.0,0.0
2014-11-18,,24,50,4,11,7,18,0,1,2,0.0,1.0,0.0,1.0
2014-11-19,,17,29,6,8,12,17,0,2,2,2.0,2.0,0.0,1.0
2014-11-20,,9,32,6,8,8,12,1,0,2,0.0,1.0,2.0,1.0
2014-11-21,,22,29,12,14,14,12,0,1,2,1.0,0.0,0.0,0.0
2014-11-22,,21,33,9,13,15,26,2,2,4,1.0,0.0,0.0,1.0
2014-11-23,,25,12,7,11,14,25,1,2,0,3.0,0.0,0.0,1.0
2014-11-24,,20,31,21,12,13,28,1,3,0,0.0,0.0,0.0,1.0
2014-11-25,,23,26,8,9,13,14,1,2,0,0.0,1.0,1.0,0.0
2014-11-26,,10,28,8,10,11,18,4,0,1,0.0,0.0,1.0,0.0
